/home/anakuzne/miniconda3/envs/encodec/lib/python3.11/site-packages/torchaudio/functional/functional.py:576: UserWarning: At least one mel filterbank has all zero values. The value for `n_mels` (64) may be set too high. Or, the value for `n_freqs` (17) may be set too low.
  warnings.warn(
/home/anakuzne/miniconda3/envs/encodec/lib/python3.11/site-packages/torchaudio/functional/functional.py:576: UserWarning: At least one mel filterbank has all zero values. The value for `n_mels` (64) may be set too high. Or, the value for `n_freqs` (33) may be set too low.
  warnings.warn(
/home/anakuzne/miniconda3/envs/encodec/lib/python3.11/site-packages/torchaudio/functional/functional.py:576: UserWarning: At least one mel filterbank has all zero values. The value for `n_mels` (64) may be set too high. Or, the value for `n_freqs` (65) may be set too low.
  warnings.warn(
/home/anakuzne/miniconda3/envs/encodec/lib/python3.11/site-packages/torchaudio/functional/functional.py:576: UserWarning: At least one mel filterbank has all zero values. The value for `n_mels` (64) may be set too high. Or, the value for `n_freqs` (129) may be set too low.
  warnings.warn(
1 {'l_g': tensor(inf), 'l_d': tensor(inf), 'l_t': tensor(inf), 'l_f': tensor(inf), 'l_w': tensor(inf), 'l_feat': tensor(inf), 'tr_entropy': tensor(inf)}
2 {'l_g': tensor(2.0352), 'l_d': tensor(4.0000), 'l_t': tensor(0.4481), 'l_f': tensor(1.1502e-05), 'l_w': tensor(124.3439), 'l_feat': tensor(0.5383), 'tr_entropy': tensor(3272.1567)}
3 {'l_g': tensor(1.5262), 'l_d': tensor(3.0000), 'l_t': tensor(0.3545), 'l_f': tensor(9.5227e-06), 'l_w': tensor(100.6078), 'l_feat': tensor(0.4188), 'tr_entropy': tensor(2454.1177)}
4 {'l_g': tensor(1.3564), 'l_d': tensor(2.6666), 'l_t': tensor(0.3204), 'l_f': tensor(8.7237e-06), 'l_w': tensor(93.1771), 'l_feat': tensor(0.3708), 'tr_entropy': tensor(2181.4377)}
5 {'l_g': tensor(1.2713), 'l_d': tensor(2.5000), 'l_t': tensor(0.3139), 'l_f': tensor(8.6501e-06), 'l_w': tensor(92.4301), 'l_feat': tensor(0.3519), 'tr_entropy': tensor(2045.0979)}
6 {'l_g': tensor(1.2203), 'l_d': tensor(2.4000), 'l_t': tensor(0.2926), 'l_f': tensor(7.8243e-06), 'l_w': tensor(84.2206), 'l_feat': tensor(0.3338), 'tr_entropy': tensor(1963.2939)}
7 {'l_g': tensor(1.1863), 'l_d': tensor(2.3333), 'l_t': tensor(0.2838), 'l_f': tensor(7.6633e-06), 'l_w': tensor(81.6181), 'l_feat': tensor(0.3250), 'tr_entropy': tensor(1908.7579)}
8 {'l_g': tensor(1.1621), 'l_d': tensor(2.2857), 'l_t': tensor(0.2768), 'l_f': tensor(7.5018e-06), 'l_w': tensor(79.4188), 'l_feat': tensor(0.3175), 'tr_entropy': tensor(1869.8037)}
9 {'l_g': tensor(1.1439), 'l_d': tensor(2.2500), 'l_t': tensor(0.2733), 'l_f': tensor(7.4159e-06), 'l_w': tensor(78.0123), 'l_feat': tensor(0.3151), 'tr_entropy': tensor(1840.5880)}
10 {'l_g': tensor(1.1297), 'l_d': tensor(2.2222), 'l_t': tensor(0.2728), 'l_f': tensor(7.4129e-06), 'l_w': tensor(77.4029), 'l_feat': tensor(0.3142), 'tr_entropy': tensor(1817.8647)}
11 {'l_g': tensor(1.1184), 'l_d': tensor(2.2000), 'l_t': tensor(0.2732), 'l_f': tensor(7.5235e-06), 'l_w': tensor(77.9197), 'l_feat': tensor(0.3118), 'tr_entropy': tensor(1799.6862)}
12 {'l_g': tensor(1.1093), 'l_d': tensor(2.1818), 'l_t': tensor(0.2647), 'l_f': tensor(7.2075e-06), 'l_w': tensor(74.9717), 'l_feat': tensor(0.3048), 'tr_entropy': tensor(1784.8126)}
13 {'l_g': tensor(1.1016), 'l_d': tensor(2.1667), 'l_t': tensor(0.2651), 'l_f': tensor(7.3080e-06), 'l_w': tensor(75.6003), 'l_feat': tensor(0.3041), 'tr_entropy': tensor(1772.4181)}
14 {'l_g': tensor(1.0952), 'l_d': tensor(2.1539), 'l_t': tensor(0.2635), 'l_f': tensor(7.1944e-06), 'l_w': tensor(75.0207), 'l_feat': tensor(0.3018), 'tr_entropy': tensor(1761.9304)}
15 {'l_g': tensor(1.0897), 'l_d': tensor(2.1429), 'l_t': tensor(0.2608), 'l_f': tensor(7.0869e-06), 'l_w': tensor(74.0685), 'l_feat': tensor(0.2997), 'tr_entropy': tensor(1752.9410)}
16 {'l_g': tensor(1.0849), 'l_d': tensor(2.1333), 'l_t': tensor(0.2609), 'l_f': tensor(7.0212e-06), 'l_w': tensor(74.1396), 'l_feat': tensor(0.2989), 'tr_entropy': tensor(1745.1501)}
17 {'l_g': tensor(1.0807), 'l_d': tensor(2.1250), 'l_t': tensor(0.2567), 'l_f': tensor(6.8657e-06), 'l_w': tensor(73.1073), 'l_feat': tensor(0.2957), 'tr_entropy': tensor(1738.3331)}
18 {'l_g': tensor(1.0771), 'l_d': tensor(2.1176), 'l_t': tensor(0.2491), 'l_f': tensor(6.5887e-06), 'l_w': tensor(70.6925), 'l_feat': tensor(0.2895), 'tr_entropy': tensor(1732.3181)}
19
